Domain,Unique Identifier,Type,Name,Description,Last Change Date
Frequency Class Descriptor(FrequencyClassDescriptorCode),25,Lifestage,Adult,"3.0)Lifestage, Individual known to be sexually mature.",7/18/2008 11:57:37 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),66,Lifestage,"Adult, Female","3.0)Lifestage, Female Individual known to be sexually mature.",3/24/2014 9:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),67,Lifestage,"Adult, Male","3.0)Lifestage, Male Individual known to be sexually mature.",3/24/2014 9:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),10,Measured Characteristic,Age,"1.1)Measured Characteristic,",7/18/2008 11:57:29 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),11,Measured Characteristic,"Age, Otoliths (Fish)","1.1)Measured Characteristic,",7/18/2008 11:57:30 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),12,Measured Characteristic,"Age, Scales (Fish)","1.1)Measured Characteristic,",7/18/2008 11:57:30 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),13,Measured Characteristic,"Age, Spines (Fish)","1.1)Measured Characteristic,",7/18/2008 11:57:30 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),14,Measured Characteristic,"Age, Vertebra (Fish)","1.1)Measured Characteristic,",7/18/2008 11:57:31 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),50,Lifestage,Budded,"3.1)Lifestage, Mature Plant with leaf and/or flower buds.",7/18/2008 11:57:50 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),62,Lifestage,Dead,"3.1)Lifestage, Dead",6/20/2011 12:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),1,Biological Abnormality,Deformities,"4.0)Biological Abnormality,",7/18/2008 11:57:25 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),15,Measured Characteristic,Diameter,"1.2)Measured Characteristic,",7/18/2008 11:57:32 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),47,Lifestage,Egg,"3.1)Lifestage, Mature ovum, spawned or unspawned, fertilized or not.",7/18/2008 11:57:49 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),5,Biological Abnormality,Emaciated,"4.0)Biological Abnormality,",7/18/2008 11:57:27 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),181,Lifestage,Embryo,"3.1)Lifestage, an unborn or unhatched offspring in the process of development",7/16/2021 1:46:10 PM
Frequency Class Descriptor(FrequencyClassDescriptorCode),2,Biological Abnormality,Eroded Fins,"4.0)Biological Abnormality,",7/18/2008 11:57:25 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),54,Lifestage,Exfoliate,"3.1)Lifestage, Mature plant, denuded of leaves (as wintering).",7/18/2008 11:57:52 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),70,Behavioral Activity,Feeding,"7.0)Behavioral Activity, Species actively consuming vegetation/substrate",9/24/2014 12:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),58,Sex,Female,"5.0)Sex, Female of or denoting the sex that can bear offspring or produce eggs, distinguished biologically by the production of gametes (ova) that can be fertilized by male gametes.",7/18/2008 11:57:53 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),29,Lifestage,First Form,"3.1)Lifestage, Decapod crustacean with hard pleopods. Can copulate.",7/18/2008 11:57:39 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),41,Lifestage,First Instar,"3.1)Lifestage, Of all instar forms, in the first third.",7/18/2008 11:57:46 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),52,Lifestage,Flowering,"3.1)Lifestage, Mature plant with open (reproductively active) flowers.",7/18/2008 11:57:51 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),51,Lifestage,Foliate,"3.1)Lifestage, Mature plant with leaves.",7/18/2008 11:57:50 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),163,Lifestage,"Fresh Dead, Mollusc","3.1)Lifestage, Dead, Mollusc with intact periostracum and lustrous nacre",12/11/2020 12:43:05 PM
Frequency Class Descriptor(FrequencyClassDescriptorCode),53,Lifestage,Fruited,"3.1)Lifestage, Mature plant, fruit or fruit bodies present.",7/18/2008 11:57:51 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),7,Biological Abnormality,Fungus,"4.0)Biological Abnormality,",7/18/2008 11:57:28 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),16,Measured Characteristic,Girth,"1.2)Measured Characteristic,",7/18/2008 11:57:32 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),33,Lifestage,Gravid,"3.1)Lifestage, Female with prominent ovaries. Eggs present and ripe.",7/18/2008 11:57:41 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),17,Measured Characteristic,Height,"1.2)Measured Characteristic,",7/18/2008 11:57:33 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),59,Sex,Hermaphrodite,"5.0)Sex, Hermaphroditic. Having both male and female organs.",7/18/2008 11:57:54 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),8,Biological Abnormality,Hybrid,"4.0)Biological Abnormality,",7/18/2008 11:57:28 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),27,Lifestage,Imwcap,"3.1)Lifestage, Tubificid worm. No penis sheath. Capilliform chaetae.",7/18/2008 11:57:38 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),60,Sex,Indeterminate,"5.0)Sex, Indeterminate. Lacking unambiguous sexual indicators.",7/18/2008 11:57:54 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),26,Lifestage,Juvenile,"3.0)Lifestage, Any stage between egg and adult.",7/18/2008 11:57:38 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),68,Lifestage,"Juvenile, Female","3.0)Lifestage, Female Any stage between egg and adult.",3/24/2014 9:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),69,Lifestage,"Juvenile, Male","3.0)Lifestage, Male Any stage between egg and adult.",3/24/2014 9:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),40,Lifestage,Larva,"3.0)Lifestage, Immature stage between egg and pupa (or adult).",7/18/2008 11:57:45 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),44,Lifestage,Larva Exuvia,"3.0)Lifestage, The cast-off exoskeleton of a larval arthropod.",7/18/2008 11:57:47 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),43,Lifestage,Late Instar,"3.0)Lifestage, Of all instar forms, in the last third.",7/18/2008 11:57:47 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),18,Measured Characteristic,Length,"1.0)Measured Characteristic,",7/18/2008 11:57:33 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),19,Measured Characteristic,"Length, Fork (Fish)","1.0)Measured Characteristic,",7/18/2008 11:57:34 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),20,Measured Characteristic,"Length, Standard (Fish)","1.0)Measured Characteristic,",7/18/2008 11:57:34 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),21,Measured Characteristic,"Length, Total (Fish)","1.0)Measured Characteristic,",7/18/2008 11:57:35 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),3,Biological Abnormality,Lesions,"4.0)Biological Abnormality,",7/18/2008 11:57:26 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),164,Lifestage,Live,"3.1)Lifestage, Live",12/11/2020 12:43:05 PM
Frequency Class Descriptor(FrequencyClassDescriptorCode),72,Behavioral Activity,Loafing,"7.0)Behavioral Activity, Species on land or ice and not feeding",9/24/2014 12:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),57,Sex,Male,"5.0)Sex, Male of or denoting the sex that produces small, typically motile gametes, especially spermatozoa, with which a female may be fertilized or inseminated to produce offspring.",7/18/2008 11:57:53 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),42,Lifestage,Mid Instar,"3.0)Lifestage, Of all instar forms, in the second (or middle) third.",7/18/2008 11:57:46 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),56,Lifestage,Mixed,"3.1)Lifestage, Mixed life stages, no attempt to distingish one from another",7/18/2008 11:57:53 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),76,Behavioral Activity,N/A,"7.0)Behaviora Activity, Not available",9/24/2014 12:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),37,Lifestage,Naiad,"3.1)Lifestage, Aquatic, gill-breathing nymph (q.v.).",7/18/2008 11:57:44 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),73,Behavioral Activity,Nesting,"7.0)Behaviora Activity, Species on nest",9/24/2014 12:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),31,Lifestage,Nongravid,"3.1)Lifestage, Female with very small ovaries.  Oocytes not discernible.",7/18/2008 11:57:40 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),36,Lifestage,Nymph,"3.0)Lifestage, Stage after hatching of insect that does not form a pupa.",10/11/2017 11:50:35 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),9,Biological Abnormality,Other,"4.0)Biological Abnormality,",7/18/2008 11:57:29 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),6,Biological Abnormality,Parasites,"4.0)Biological Abnormality,",7/18/2008 11:57:27 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),64,Lifestage,Parr,"3.0)Lifestage, juvenile salmonid/freshwater stage",4/17/2012 4:24:25 PM
Frequency Class Descriptor(FrequencyClassDescriptorCode),39,Lifestage,Post Larva,"3.0)Lifestage, Fish between yolk absorption and juvenile.",7/18/2008 11:57:45 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),45,Lifestage,Pupa,"3.0)Lifestage, The non-feeding stage preceding adult in arthropods.",7/18/2008 11:57:48 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),46,Lifestage,Pupal Exuvia,"3.0)Lifestage, The cast-off exoskeleton of a pupal arthropod.",7/18/2008 11:57:48 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),71,Behavioral Activity,Resting,"7.0)Behaviora Activity, Species on water and not feeding",9/24/2014 12:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),32,Lifestage,Roe Present,"3.1)Lifestage, Female with developing ovaries.  Eggs discernible.",7/18/2008 11:57:41 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),30,Lifestage,Second Form,"3.0)Lifestage, Decapod crustacean with soft pleopods.",7/18/2008 11:57:40 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),48,Lifestage,Seed,"3.0)Lifestage, Mature seedor fruit, fertilized or not.",7/18/2008 11:57:49 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),49,Lifestage,Seedling,"3.0)Lifestage, Sprouted seed, with immature leaves or leaflets.",7/18/2008 11:57:49 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),65,Lifestage,Smolt,"3.0)Lifestage, juvenile salmonid/seaward adaptation  stage",4/17/2012 4:24:27 PM
Frequency Class Descriptor(FrequencyClassDescriptorCode),34,Lifestage,Spent,"3.1)Lifestage, Female with empty ovaries.  Eggs absent or undeveloped.",7/18/2008 11:57:42 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),63,Miscellaneous,Stocked,"6.0)Miscellaneous, Stocked",6/20/2011 12:00:00 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),55,Lifestage,Subadult,"3.1)Lifestage, Sexually immature but secondary sex characteristics present",7/18/2008 11:57:52 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),161,Lifestage,"Subfossil, Mollusc","3.1)Lifestage, Dead, Mollusc shell, shell chalky with no periostracum",12/11/2020 12:43:03 PM
Frequency Class Descriptor(FrequencyClassDescriptorCode),28,Lifestage,Subimago,"3.1)Lifestage, First of the two-winged instars of mayfly.",7/18/2008 11:57:39 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),22,Measured Characteristic,"Temperature, Tissue","1.3)Measured Characteristic,",7/18/2008 11:57:35 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),61,Biological Abnormality,Total Abnormalities,"4.0)Biological Abnormality,",7/18/2008 11:57:24 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),4,Biological Abnormality,Tumors,"4.0)Biological Abnormality,",7/18/2008 11:57:26 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),77,Lifestage,Uncategorize,"3.1)Lifestage, Individual not classified or arranged in categories of lifestages",3/14/2018 2:20:40 PM
Frequency Class Descriptor(FrequencyClassDescriptorCode),162,Lifestage,"Weathered Dead, Mollusc","3.1)Lifestage, Dead, Mollusc shell, with intact periostracum but weathered, chalky nacre",12/11/2020 12:43:04 PM
Frequency Class Descriptor(FrequencyClassDescriptorCode),23,Measured Characteristic,Weight,"2.0)Measured Characteristic,",7/18/2008 11:57:36 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),24,Measured Characteristic,Width,"1.2)Measured Characteristic,",7/18/2008 11:57:36 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),35,Lifestage,Y.O.Y.,"3.0)Lifestage, Young of the year.  Fish in its first year of life.",7/18/2008 11:57:42 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),38,Lifestage,Yolk Larva,"3.0)Lifestage, Fish between hatching and yolk absorption.",7/18/2008 11:57:44 AM
Frequency Class Descriptor(FrequencyClassDescriptorCode),75,Behavioral Activity,ill,"7.0)Behaviora Activity, Species ill (e.g., isolated, gasping for breath, etc.)",9/24/2014 12:00:00 AM

