Parameter,Abbreviation,Abbreviation-aik-pfas-ont,QuantityKind
PERFLUOROUNDECANOIC ACID,PFUNDA_A,PFUNDA_A,
PERFLUOROBUTANE SULFONIC ACID,PFBS_A,PFBS_A,
PERFLUOROOCTANE SULFONATE,PFOS,PFOS,
PERFLUOROOCTANE SULFONIC ACID,PFOS_A,PFOS_A,
PERFLUORONONANE SULFONIC ACID,PFNS_A,PFNS_A,
8:2 FLUOROTELOMER SULFONIC ACID,8:2 FTS_A,8-2_FTS_A,
PERFLUOROHEXANOIC ACID,PFHXA_A,PFHXA_A,
6:2 FLUOROTELOMER SULFONIC ACID,6:2 FTS_A,6-2_FTS_A,
PERFLUOROPENTANOIC ACID,PFPEA_A,PFPEA_A,
TOTAL PFOA AND PFOS,PFOA + PFOS,SUM_PFOA_PFOS,Cumulative
SUM OF 5 PFAS (PFHPA + PFHXS + PFOA + PFNA + PFOS),SUM OF 5 PFAS,SUM_OF_5_PFAS,Cumulative
SUM OF 6 PFAS (PFHPA + PFHXS + PFOA + PFNA + PFOS + PFDA),SUM OF 6 PFAS,SUM_OF_6_PFAS,Cumulative
HEXAFLUOROPROPYLENE OXIDE DIMER ACID,HFPO-DA_A,HFPO-DA_A,
PERFLUOROTETRADECANOIC ACID,PFTEA_A,PFTEA_A,
6:2 FLUOROTELOMER SULFONATE,6:2 FTS,6-2_FTS,
PERFLUOROUNDECANOATE,PFUNDA,PFUNDA,
PERFLUORODECANOATE,PFDA,PFDA,
PERFLUOROOCTANOIC ACID,PFOA_A,PFOA_A,
PERFLUOROTRIDECANOATE,PFTRDA_A,PFTRDA_A,
PERFLUOROOCTANE SULFONAMIDE,PFOSA,PFOSA,
PERFLUORONONANOATE,PFNA,PFNA,
PERFLUOROHEXANE SULFONATE,PFHXS,PFHXS,
PERFLUOROHEPTANOIC ACID,PFHPA_A,PFHPA_A,
PERFLUOROBUTANOIC ACID,PFBA_A,PFBA_A,
PERFLUOROHEXANE SULFONIC ACID,PFHXS_A,PFHXS_A,
PERFLUORONONANOIC ACID,PFNA_A,PFNA_A,
PERFLUORODECANOIC ACID,PFDA_A,PFDA_A,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,N-EtFOSAA,N-EtFOSAA,
PERFLUOROHEPTANE SULFONIC ACID,PFHPS_A,PFHPS_A,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,N-MeFOSAA,N-MeFOSAA,
PERFLUOROPENTANE SULFONIC ACID,PFPES_A,PFPES_A,
PERFLUOROOCTANE SULFONIC ACID-BRANCHED,PFOS_A_BR,PFOS_A_BR,
PERFLUOROOCTANE SULFONIC ACID-LINEAR,PFOS_A_L,PFOS_A_L,
PERFLUOROOCTANOIC ACID-LINEAR,PFOA_A_L,PFOA_A_L,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED,N-etFOSSA_BR,N-etFOSSA_BR,
PERFLUOROOCTANOIC ACID-BRANCHED,PFOA_A_BR,PFOA_A_BR,
PERFLUOROOCTANOATE,PFOA,PFOA,
PERFLUOROTETRADECANOATE,PFTEA,PFTEA,
N-METHYL PERFLUOROOCTANE SULFONAMIDE,N-MEFOSA,N-MEFOSA,
PERFLUORODODECANOIC ACID,PFDOA_A,PFDOA_A,
4:2-FLUOROTELOMER SULFONIC ACID,4:2 FTS_A,4-2_FTS_A,
10:2 FLUOROTELOMER SULFONIC ACID,10:2 FTS_A,10-2_FTS_A,
PERFLUORODECANESULFONIC ACID,PFDS_A,PFDS_A,
PERFLUOROTRIDECANOIC ACID,PFTRIA_A,PFTRIA_A,
PERFLUOROHEXADECANOIC ACID,PFHXDA_A,PFHXDA_A,
PERFLUOROHEXANOATE,PFHXA,PFHXA,
PERFLUOROHEPTANOATE,PFHPA,PFHPA,
8:2 FLUOROTELOMER SULFONATE,8:2 FTS,8-2_FTS,
PERFLUORODODECANOATE,PFDOA,PFDOA,
PERFLUORODECANE SULFONATE,PFDS,PFDS,
PERFLUOROBUTANE SULFONATE,PFBS,PFBS,
9-CHOLOROHEXADECAFLUORO-3-OXANONANE-1-SULFONIC ACID,9CL-PF3ONS_A,9CL-PF3ONS_A,
PERFLUOROPENTANOATE,PFPEA,PFPEA,
PERFLUOROOCTADECANOIC ACID,PFODA_A,PFODA_A,
PERFLUOROHEXANE SULFONIC ACID-BRANCHED,PFHXS_A_BR,PFHXS_A_BR,
PERFLUOROBUTANE SULFONAMIDE,FBSA,FBSA,
PERFLUOROHEXANE SULFONAMIDE,FHXSA,FHXSA,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR,N-MeFOSSA_L,N-MeFOSSA_L,
PERFLUOROHEXANE SULFONIC ACID-LINEAR,PFHXS_A_L,PFHXS_A_L,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED,N-MeFOSSA_BR,N-MeFOSSA_BR,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR,N-etFOSSA_L,N-etFOSSA_L,
"PERFLUORO-3,6-DIOXAHEPTANOIC ACID",PFDH_A,PFDH_A,
"4,8-DIOXA-3H-PERFLUORONONANOIC ACID",ADONA_A,ADONA_A,
PERFLUORO-3-METHOXYPROPANOIC ACID,PFMP_A,PFMP_A,
PERFLUOROBUTANOATE,PFBA,PFBA,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOETHANOL,N-EtFOSE,N-EtFOSE,
N-METHYL PERFLUOROOCTANE SULFONAMIDOETHANOL,N-MEFOSE,N-MEFOSE,
N-ETHYL PERFLUOROOCTANE SULFONAMIDE,N-ETFOSA,N-ETFOSA,
11-CHLOROEICOSAFLUORO-3-OXAUNDECANE-1-SULFONIC ACID,11CL-PF3OUDS_A,11CL-PF3OUDS_A,
PERFLUORODODECANE SULFONIC ACID,PFDOS_A,PFDOS_A,
4:2 FLUOROTELOMER SULFONATE,4:2 FTS,4-2_FTS,
"4,8-DIOXA-3H-PERFLUORONONANOATE",ADONA,ADONA,
9-CHOLOROHEXADECAFLUORO-3-OXANONANE-1-SULFONATE,9CL-PF3ONS,9CL-PF3ONS,
PERFLUORO(2-ETHOXYETHANE)SULFONIC ACID,PFEES_A,PFEES_A,
PERFLUORO-4-METHOXYBUTANOIC ACID,PFMB_A,PFMB_A,
PERFLUOROPENTANE SULFONATE,PFPES,PFPES,
PERFLUORODODECANE SULFONATE,PFDOS,PFDOS,
3:3 FLUOROTELOMER CARBOXYLIC ACID,3:3 FTC_A,3-3_FTC_A,
PERFLUORONONANE SULFONATE,PFNS,PFNS,
11-CHLOROEICOSAFLUORO-3-OXAUNDECANE-1-SULFONATE,11CL-PF3OUDS,11CL-PF3OUDS,
5:3 FLUOROTELOMER CARBOXYLIC ACID,5:3 FTC_A,5-3_FTC_A,
PERFLUOROHEPTANE SULFONATE,PFHPS,PFHPS,
7:3 FLUOROTELOMER CARBOXYLIC ACID,7:3 FTC_A,7-3_FTC_A,
PERFLUOROPROPANE SULFONIC ACID,PFRPS_A,PFRPS_A,
ACETOHYDROXAMIC ACID,PFECHS_A,PFECHS_A,
TOTAL PERFLUOROCARBOXYLIC ACIDS,TOTAL PFCA,TOTAL_PFCA,Cumulative
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,N-MeFOSAA_A,N-MeFOSAA_A,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,N-EtFOSAA_A,N-EtFOSAA_A,
TOTAL PERFLUOROCARBOXYLIC ACIDS,TOTAL PFC_A,TOTAL-PFC_A,Cumulative
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED,N-EtFOSAA_A_BR,N-EtFOSAA_A_BR,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR,N-EtFOSAA_A_L,N-EtFOSAA_A_L,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOETHANOL,N-EtFOSE,N-EtFOSE,
N-METHYL PERFLUOROOCTANE SULFONAMIDE,N-MEFOSA,N-MEFOSA,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,N-MeFOSAA_A,N-MeFOSAA_A,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED,N-MeFOSAA_A_BR,N-MeFOSAA_A_BR,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR,N-MeFOSAA_A_L,N-MeFOSAA_A_L,
N-METHYL PERFLUOROOCTANE SULFONAMIDOETHANOL,N-MEFOSE,N-MEFOSE,
PERFLOUROOCTANE SULFONIC ACID,PFOS_A_L + PFOS_A_BR,PFOS_A,
PERFLUOROOCTANOIC ACID-LINEAR,PFOA_A_L + PFOA_A_BR,PFOA_A,
PERFLUOROHEXANE SULFONIC ACID,PFHXS_A_L + PFHXS_A_BR,PFHXS_A,
